,date,value
0,2018-06-20,46.92
1,2018-06-21,54.2
2,2018-06-22,59.51
3,2018-06-25,55.76
4,2018-06-26,55.87
5,2018-06-27,49.42
6,2018-06-28,47.08
7,2018-06-29,52.33
8,2018-07-03,55.87
9,2018-07-04,52.33
10,2018-07-05,51.97
11,2018-07-06,52.43
12,2018-07-09,56.49
13,2018-07-10,56.8
14,2018-07-11,56.91
15,2018-07-12,60.03
16,2018-07-13,60.24
17,2018-07-16,66.69
18,2018-07-17,68.25
19,2018-07-18,71.06
20,2018-07-19,69.6
21,2018-07-20,72.3
22,2018-07-23,73.35
23,2018-07-24,70.64
24,2018-07-25,70.43
25,2018-07-26,72.41
26,2018-07-27,71.89
27,2018-07-30,68.25
28,2018-07-31,66.69
29,2018-08-01,62.21
30,2018-08-02,58.78
31,2018-08-03,61.8
32,2018-08-06,60.13
33,2018-08-07,65.44
34,2018-08-08,64.5
35,2018-08-09,69.29
36,2018-08-10,66.79
37,2018-08-13,64.61
38,2018-08-14,65.96
39,2018-08-15,64.92
40,2018-08-16,64.19
41,2018-08-17,62.94
42,2018-08-20,63.88
43,2018-08-21,68.14
44,2018-08-22,41.1
45,2018-08-23,43.05
46,2018-08-24,41.79
47,2018-08-27,43.3
48,2018-08-28,41.98
49,2018-08-29,42.55
50,2018-08-30,42.48
51,2018-08-31,42.23
52,2018-09-03,41.86
53,2018-09-04,44.43
54,2018-09-05,43.93
55,2018-09-06,41.6
56,2018-09-07,42.48
57,2018-09-10,40.47
58,2018-09-11,39.03
59,2018-09-12,37.64
60,2018-09-13,39.78
61,2018-09-14,39.66
62,2018-09-17,40.22
63,2018-09-18,43.11
64,2018-09-19,43.99
65,2018-09-20,43.43
66,2018-09-21,44.06
67,2018-09-24,42.3
68,2018-09-26,42.99
69,2018-09-27,43.43
70,2018-09-28,41.79
71,2018-10-02,39.59
72,2018-10-03,39.22
73,2018-10-04,39.78
74,2018-10-05,39.22
75,2018-10-08,36.26
76,2018-10-09,35.82
77,2018-10-10,36.45
78,2018-10-11,34.5
79,2018-10-12,36.26
80,2018-10-15,34.88
81,2018-10-16,35.13
82,2018-10-18,34.57
83,2018-10-19,35.7
84,2018-10-22,36.33
85,2018-10-23,34.5
86,2018-10-24,33.94
87,2018-10-25,34.19
88,2018-10-26,32.87
89,2018-10-29,30.35
90,2018-10-30,31.08
91,2018-10-31,31.8
92,2018-11-01,33.43
93,2018-11-02,35.26
94,2018-11-05,34.88
95,2018-11-06,35.13
96,2018-11-07,35.45
97,2018-11-08,35.51
98,2018-11-09,34.57
99,2018-11-12,33.87
100,2018-11-13,34.13
101,2018-11-14,35.07
102,2018-11-15,35.38
103,2018-11-16,35.63
104,2018-11-19,36.58
105,2018-11-20,35.7
106,2018-11-21,37.83
107,2018-11-22,37.39
108,2018-11-23,37.58
109,2018-11-26,38.46
110,2018-11-27,38.84
111,2018-11-28,40.03
112,2018-11-29,39.91
113,2018-11-30,40.72
114,2018-12-03,40.85
115,2018-12-04,41.6
116,2018-12-05,41.29
117,2018-12-06,40.16
118,2018-12-07,39.78
119,2018-12-08,41.49
120,2018-12-09,41.49
121,2018-12-10,38.52
122,2018-12-11,40.03
123,2018-12-12,41.86
124,2018-12-13,41.98
125,2018-12-14,42.61
126,2018-12-17,42.67
127,2018-12-18,41.73
128,2018-12-19,41.86
129,2018-12-20,38.96
130,2018-12-21,38.9
131,2018-12-24,38.52
132,2018-12-27,38.34
133,2018-12-28,38.27
134,2018-12-31,39.09
135,2019-01-02,37.33
136,2019-01-03,37.27
137,2019-01-04,37.46
138,2019-01-07,38.59
139,2019-01-08,40.54
140,2019-01-09,41.1
141,2019-01-10,40.54
142,2019-01-11,35.45
143,2019-01-14,35.07
144,2019-01-15,36.14
145,2019-01-16,35.89
146,2019-01-17,35.38
147,2019-01-18,36.26
148,2019-01-21,36.58
149,2019-01-22,36.2
150,2019-01-23,36.07
151,2019-01-24,38.91
152,2019-01-25,39.92
153,2019-01-28,39.98
154,2019-01-29,39.92
155,2019-01-30,40.45
156,2019-01-31,40.52
157,2019-02-01,41.26
158,2019-02-04,41.86
159,2019-02-08,42.13
160,2019-02-11,41.59
161,2019-02-12,42.06
162,2019-02-13,41.59
163,2019-02-14,41.06
164,2019-02-15,40.12
165,2019-02-18,42.13
166,2019-02-19,42.06
167,2019-02-20,42.53
168,2019-02-21,43.81
169,2019-02-22,44.28
170,2019-02-25,43.14
171,2019-02-26,42.94
172,2019-02-27,42.87
173,2019-02-28,43.34
174,2019-03-01,43.41
175,2019-03-04,43.27
176,2019-03-05,43.88
177,2019-03-06,43.34
178,2019-03-07,42.2
179,2019-03-08,41.06
180,2019-03-11,42.13
181,2019-03-12,43.41
182,2019-03-13,43.88
183,2019-03-14,42.94
184,2019-03-15,43.41
185,2019-03-18,44.88
186,2019-03-19,31.56
187,2019-03-20,35.36
188,2019-03-21,35.61
189,2019-03-22,36.12
190,2019-03-25,35.51
191,2019-03-26,35.41
192,2019-03-27,36.48
193,2019-03-28,36.88
194,2019-03-29,37.03
195,2019-04-01,36.98
196,2019-04-02,36.73
197,2019-04-03,36.63
198,2019-04-04,36.73
199,2019-04-08,36.73
200,2019-04-09,36.98
201,2019-04-10,36.73
202,2019-04-11,35.87
203,2019-04-12,36.58
204,2019-04-15,36.63
205,2019-04-16,36.53
206,2019-04-17,36.32
207,2019-04-18,36.22
208,2019-04-23,35.66
209,2019-04-24,36.53
210,2019-04-25,35.77
211,2019-04-26,35.92
212,2019-04-29,35.72
213,2019-04-30,36.73
214,2019-05-02,37.84
215,2019-05-03,38.5
216,2019-05-06,36.98
217,2019-05-07,38.5
218,2019-05-08,37.44
219,2019-05-09,35.36
220,2019-05-10,37.24
221,2019-05-14,36.12
222,2019-05-15,36.68
223,2019-05-16,37.44
224,2019-05-17,37.39
225,2019-05-20,36.12
226,2019-05-21,37.18
227,2019-05-22,37.34
228,2019-05-23,36.27
229,2019-05-24,37.94
230,2019-05-27,38.0
231,2019-05-28,39.21
232,2019-05-29,39.36
233,2019-05-30,39.52
234,2019-05-31,40.73
235,2019-06-03,41.09
236,2019-06-04,39.72
237,2019-06-05,40.12
238,2019-06-06,40.33
239,2019-06-10,40.17
240,2019-06-11,41.85
241,2019-06-12,41.59
242,2019-06-13,41.74
243,2019-06-14,41.34
244,2019-06-17,41.19
245,2019-06-18,42.25
246,2019-06-19,42.71
247,2019-06-20,44.07
248,2019-06-21,44.73
249,2019-06-24,45.8
250,2019-06-25,45.49
251,2019-06-26,46.2
252,2019-06-27,46.25
253,2019-06-28,45.75
254,2019-07-02,46.66
255,2019-07-03,47.37
256,2019-07-04,45.95
257,2019-07-05,45.29
258,2019-07-08,46.15
259,2019-07-09,45.54
260,2019-07-10,47.47
261,2019-07-11,48.13
262,2019-07-12,49.7
263,2019-07-15,49.9
264,2019-07-16,49.14
265,2019-07-17,49.29
266,2019-07-18,48.03
267,2019-07-19,47.92
268,2019-07-22,47.98
