代码,序号,名称,最新价,成交量,成交额,市盈率(TTM),市净率
01789,1,爱康医疗,9.77,14208326,138172163.0,86.99,4.36
02158,2,医渡科技,9.15,53289218,490586416.0,-12.33,2.06
09990,3,祖龙娱乐,5.31,19834000,104008170.0,-6.9,1.22
01167,4,加科思-B,7.88,29010896,228747079.0,-17.78,3.43
09899,5,云音乐,89.65,171024,15377376.0,10.97,2.17
02400,6,心动公司,27.85,5692000,158248586.0,-12.37,5.71
00992,7,联想集团,7.0,107701657,752108320.0,5.13,2.09
00839,8,中教控股,10.12,16899000,170960887.0,12.28,1.62
06808,9,高鑫零售,3.18,22710500,73075416.0,-29.66,1.17
02273,10,固生堂,54.8,829500,45541427.0,-106.08,6.79
01858,11,春立医疗,20.15,1761500,36034647.0,21.36,2.67
06618,12,京东健康,57.05,9421829,540066992.0,-392.96,3.66
01798,13,大唐新能源,2.88,60741000,174505162.0,6.71,1.3
09909,14,宝龙商业,5.97,4075500,24457115.0,6.91,1.28
06088,15,FIT HON TENG,2.17,34040000,76270539.0,9.44,0.85
01896,16,猫眼娱乐,9.33,5729668,54383693.0,68.49,1.12
01209,17,华润万象生活,44.45,3315107,147567476.0,44.58,6.09
03808,18,中国重汽,12.14,10844000,133445444.0,14.47,0.81
02252,19,微创机器人-B,32.9,4769500,156733275.0,-33.71,13.54
00772,20,阅文集团,38.9,5369043,210579340.0,34.03,1.92
00302,21,中手游,2.13,35301000,76332280.0,25.68,0.87
03738,22,阜博集团,4.35,28269000,124970080.0,-439.91,6.45
09868,23,小鹏汽车-W,37.25,16251706,612188992.0,-7.21,1.47
01797,24,新东方在线,50.25,17242584,864951888.0,292.24,20.41
02192,25,医脉通,10.8,726000,7903500.0,138.19,1.59
01888,26,建滔积层板,10.6,5472775,57743512.0,6.3,2.01
00241,27,阿里健康,5.9,102200972,615425152.0,568.68,4.83
03990,28,美的置业,10.22,3316200,34013579.0,3.79,0.48
02013,29,微盟集团,5.22,72216597,382957632.0,-14.89,3.69
01448,30,福寿园,6.33,7473165,47529127.0,20.46,2.42
03900,31,绿城中国,10.88,6086353,66134893.0,6.12,0.66
01268,32,美东汽车,20.9,4920100,103462829.0,24.73,5.6
03613,33,同仁堂国药,12.26,1088000,13195979.0,18.48,3.03
03319,34,雅生活服务,8.72,8312237,72397273.0,4.76,0.91
09666,35,金科服务,12.96,1083500,14079259.0,8.13,0.96
00799,36,IGG,2.92,4535000,13271633.0,-9.23,1.12
00688,37,中国海外发展,19.72,20500591,406061648.0,5.11,0.52
02378,38,保诚,126.0,266350,33491512.0,21.31,2.74
00853,39,微创医疗,23.3,5553601,130993966.0,-14.12,4.4
00884,40,旭辉控股集团,1.05,140331638,149933226.0,1.97,0.22
01765,41,希望教育,0.71,36746000,25935880.0,11.25,0.62
00670,42,中国东方航空股份,3.22,17727000,57531330.0,-2.02,2.78
09993,43,金辉控股,4.67,1199000,5654480.0,6.01,0.67
01515,44,华润医疗,6.12,4532000,28062030.0,16.15,1.04
00960,45,龙湖集团,25.4,8392404,213062735.0,5.76,1.11
01995,46,旭辉永升服务,3.63,13180000,47994016.0,7.63,1.18
00728,47,中国电信,4.01,329184144,1344268720.0,12.22,0.78
02382,48,舜宇光学科技,99.6,5501672,550491392.0,25.54,4.5
09922,49,九毛九,20.25,11579384,235615718.0,119.04,8.3
01357,50,美图公司,2.31,165600000,397663344.0,-48.2,2.61
01238,51,宝龙地产,1.6,7733000,12529575.0,2.04,0.14
03331,52,维达国际,22.4,2105193,47149481.0,38.18,2.25
01030,53,新城发展,2.89,29784000,86314174.0,2.34,0.39
01686,54,新意网集团,4.99,1864335,9257721.0,13.78,2.55
00753,55,中国国航,7.02,15840518,112693154.0,-2.99,2.93
01813,56,合景泰富集团,1.78,22061618,39842885.0,50.14,0.12
00762,57,中国联通,5.92,128343756,765355568.0,9.57,0.45
01966,58,中骏集团控股,0.93,14745961,13840555.0,1.71,0.15
00493,59,国美零售,0.14,1022468000,145583062.0,-0.88,0.24
06078,60,海吉亚医疗,59.25,1566893,93215921.0,68.37,6.86
01610,61,中粮家佳康,2.41,16088000,38951450.0,-16.21,1.07
01516,62,融创服务,3.42,11809765,40722240.0,-83.99,1.22
02285,63,泉峰控股,41.9,237100,9997542.0,22.37,3.15
00941,64,中国移动,57.75,42522752,2461262624.0,8.75,0.88
02768,65,佳源国际控股,0.202,81718000,16683390.0,1.54,0.05
00881,66,中升控股,43.7,2252571,97947880.0,11.15,2.17
02007,67,碧桂园,2.58,134818061,348847584.0,4.91,0.31
06098,68,碧桂园服务,16.56,21863522,363399632.0,10.62,1.26
01880,69,中国中免,218.0,1290400,280373152.0,80.17,8.29
01024,70,快手-W,61.9,22061119,1383040592.0,-13.21,5.96
01833,71,平安好医生,19.42,10469707,206913771.0,-17.16,1.37
01359,72,中国信达,1.08,35777480,38679275.0,3.57,0.23
03913,73,合景悠活,1.63,4306359,7115561.0,4.19,0.8
01579,74,颐海国际,24.55,4232290,104479039.0,32.3,5.73
09863,75,零跑汽车,27.3,165900,4566470.0,-6.24,5.44
01668,76,华南城,0.55,2710000,1482880.0,17.47,0.15
09923,77,移卡,30.65,2348800,73762829.0,60.55,3.92
00874,78,白云山,22.7,1618000,37380000.0,8.6,1.06
09869,79,海伦司,14.88,3467040,52200670.0,-31.65,5.89
00669,80,创科实业,103.1,3011490,311628928.0,20.9,4.77
01083,81,港华智慧能源,4.02,3260487,13080876.0,8.64,0.59
03669,82,永达汽车,6.64,1335508,8834554.0,6.42,0.83
06049,83,保利物业,51.35,549600,28371758.0,24.72,3.37
02678,84,天虹国际集团,6.71,592595,3977047.0,2.2,0.5
00873,85,世茂服务,2.46,7500000,18771710.0,7.73,0.6
02150,86,奈雪的茶,6.16,3373000,20886196.0,-19.75,1.86
03690,87,美团-W,148.3,34797292,5175400192.0,-75.92,6.51
01033,88,中石化油服,0.63,7440000,4699740.0,112.12,1.42
02601,89,中国太保,22.3,12720371,284703504.0,7.95,0.87
02333,90,长城汽车,11.48,45855814,525896832.0,10.75,1.36
00285,91,比亚迪电子,26.55,3989979,106639596.0,38.93,2.09
00101,92,恒隆地产,16.02,6817863,108953212.0,18.79,0.54
02019,93,德信中国,0.67,14228000,9624190.0,1.62,0.26
00700,94,腾讯控股,382.6,21914350,8467285248.0,18.69,4.38
00763,95,中兴通讯,20.95,10240328,217430850.0,11.53,1.57
02599,96,祥生控股集团,0.35,2006000,710460.0,-0.65,0.13
06690,97,海尔智家,28.95,4267667,123653785.0,16.73,2.7
01600,98,天伦燃气,5.18,1189000,6188110.0,6.82,0.83
06862,99,海底捞,19.7,16558119,328534128.0,-20.76,12.28
02318,100,中国平安,57.45,21450519,1241327936.0,9.85,1.13
01299,101,友邦保险,85.2,14233446,1215744832.0,35.14,3.09
00719,102,山东新华制药股份,6.22,11622400,73725388.0,10.63,0.92
01890,103,中国科培,3.15,1946000,6189760.0,7.91,1.49
00168,104,青岛啤酒股份,78.8,2146798,169763629.0,25.51,3.73
02015,105,理想汽车-W,98.9,6451634,646732688.0,-94.48,4.25
00016,106,新鸿基地产,111.1,2326396,257906952.0,12.6,0.53
06110,107,滔搏,7.16,2520911,18052808.0,18.04,3.94
00116,108,周生生,11.28,618200,6909214.0,13.2,0.62
01755,109,新城悦服务,7.26,595000,4367640.0,11.64,2.28
01628,110,禹洲集团,0.41,4034071,1659836.0,35.63,0.1
09983,111,建业新生活,3.31,2847000,9471970.0,5.58,1.25
00817,112,中国金茂,1.66,12199897,20360908.0,6.39,0.37
03888,113,金山软件,29.25,5052961,148978744.0,-5.6,1.86
09987,114,百胜中国,472.2,255531,120436025.0,57.34,3.91
06969,115,思摩尔国际,10.42,12480304,131499596.0,17.79,2.75
00780,116,同程旅行,17.52,5655512,100502039.0,-393.98,2.28
01282,117,宝新金融,0.44,103084400,46597615.0,-1.17,0.13
03320,118,华润医药,6.24,8646628,54325789.0,9.0,0.78
00014,119,希慎兴业,26.8,1246549,33362132.0,29.37,0.38
00956,120,新天绿色能源,3.65,7229998,26493535.0,6.37,0.74
03396,121,联想控股,9.25,1379432,12941783.0,5.83,0.29
01951,122,锦欣生殖,6.48,18688036,122803361.0,40.27,1.75
01368,123,特步国际,9.28,10321424,97270656.0,19.52,2.53
00144,124,招商局港口,11.18,2905837,32429683.0,5.42,0.46
03311,125,中国建筑国际,9.38,7248779,68503399.0,6.29,0.84
02218,126,安德利果汁,6.57,81500,533360.0,8.72,0.9
01257,127,中国光大绿色环保,1.88,1184000,2221900.0,4.98,0.29
00008,128,电讯盈科,3.89,6984365,27193078.0,23.78,5.0
01997,129,九龙仓置业,43.85,1287577,56532499.0,-2832.74,0.67
00297,130,中化化肥,1.01,9796000,9916140.0,5.05,0.64
00696,131,中国民航信息网络,16.28,1558100,25543491.0,56.65,2.14
03709,132,赢家时尚,10.3,1094500,11210840.0,11.38,1.58
02202,133,万科企业,14.5,8092746,118110761.0,6.66,0.63
00390,134,中国中铁,4.18,12916274,54149849.0,3.12,0.38
