,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2010-03-19,0.56,0.53,0.58,0.52,197373,1182393994.0,20.0,76.67,0.23,70.49
1,2010-03-22,0.56,0.6,0.6,0.55,110104,693595698.0,9.43,13.21,0.07,39.32
2,2010-03-23,0.59,0.61,0.62,0.58,85522,547135876.0,6.67,1.67,0.01,30.54
3,2010-03-24,0.61,0.66,0.69,0.61,72530,491778563.0,13.11,8.2,0.05,25.9
4,2010-03-25,0.66,0.67,0.7,0.65,60225,419010108.0,7.58,1.52,0.01,21.51
5,2010-03-26,0.66,0.66,0.67,0.64,43154,295658719.0,4.48,-1.49,-0.01,15.41
6,2010-03-29,0.66,0.72,0.73,0.64,67686,476779869.0,13.64,9.09,0.06,24.17
7,2010-03-30,0.71,0.79,0.8,0.71,48331,366877102.0,12.5,9.72,0.07,17.26
8,2010-03-31,0.79,0.89,0.89,0.78,58812,493669145.0,13.92,12.66,0.1,21.0
9,2010-04-01,0.89,0.89,0.98,0.87,61479,553713289.0,12.36,0.0,0.0,21.96
10,2010-04-02,0.87,0.91,0.94,0.87,49702,436542448.0,7.87,2.25,0.02,17.75
11,2010-04-06,0.93,1.03,1.03,0.91,48516,450479396.0,13.19,13.19,0.12,17.33
12,2010-04-07,1.03,1.08,1.09,1.01,46945,464443838.0,7.77,4.85,0.05,16.77
13,2010-04-08,1.06,0.95,1.08,0.95,62019,596345710.0,12.04,-12.04,-0.13,22.15
14,2010-04-09,0.93,1.02,1.03,0.91,58943,543470804.0,12.63,7.37,0.07,21.05
15,2010-04-12,1.0,0.94,1.01,0.91,56082,515284827.0,9.8,-7.84,-0.08,20.03
16,2010-04-13,0.93,0.83,0.93,0.83,78637,660275907.0,10.64,-11.7,-0.11,28.08
17,2010-04-14,0.81,0.82,0.84,0.79,42527,345359339.0,6.02,-1.2,-0.01,15.19
18,2010-04-15,0.82,0.78,0.82,0.74,53930,419930743.0,9.76,-4.88,-0.04,19.26
19,2010-04-16,0.76,0.78,0.81,0.76,39400,310581775.0,6.41,0.0,0.0,14.07
20,2010-04-19,0.77,0.77,0.82,0.75,33572,264804097.0,8.97,-1.28,-0.01,11.99
21,2010-04-20,0.77,0.71,0.78,0.69,36171,263841874.0,11.69,-7.79,-0.06,12.92
22,2010-04-21,0.7,0.74,0.75,0.7,34640,257638303.0,7.04,4.23,0.03,12.37
