,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
0,1,00631,三一国际,8.39,0.92,12.32,8.39,8.39,8.39,7.47,0,0.0
1,2,03968,招商银行,44.8,4.4,10.89,44.8,44.8,44.8,40.4,85500,3454200.0
2,3,01818,招金矿业,10.42,0.67,6.87,10.42,10.42,10.42,9.75,185,1787.0
3,4,09955,智云健康,6.98,0.43,6.56,6.98,6.98,6.98,6.55,0,0.0
4,5,01585,雅迪控股,19.3,1.18,6.51,19.3,19.3,19.3,18.12,0,0.0
5,6,01193,华润燃气,32.0,1.85,6.14,32.0,32.0,32.0,30.15,0,0.0
6,7,01038,长江基建集团,44.9,2.25,5.28,44.9,44.9,44.9,42.65,0,0.0
7,8,01821,ESR,13.32,0.62,4.88,13.32,13.32,13.32,12.7,0,0.0
8,9,09922,九毛九,18.4,0.82,4.66,18.4,18.4,18.4,17.58,0,0.0
9,10,00669,创科实业,89.9,3.9,4.53,89.9,89.9,89.9,86.0,0,0.0
10,11,03606,福耀玻璃,34.8,1.5,4.5,34.8,34.8,34.8,33.3,0,0.0
11,12,01787,山东黄金,15.66,0.64,4.26,15.66,15.66,15.66,15.02,0,0.0
12,13,02238,广汽集团,4.94,0.2,4.22,4.94,4.94,4.94,4.74,0,0.0
13,14,00257,光大环境,3.56,0.14,4.09,3.56,3.56,3.56,3.42,0,0.0
14,15,03896,金山云,2.81,0.11,4.07,2.81,2.81,2.81,2.7,0,0.0
15,16,03331,维达国际,21.2,0.8,3.92,21.2,21.2,21.2,20.4,0,0.0
16,17,03759,康龙化成,38.0,1.35,3.68,38.0,38.0,38.0,36.65,0,0.0
17,18,00354,中国软件国际,5.66,0.2,3.66,5.66,5.66,5.66,5.46,1200,6480.0
18,19,01999,敏华控股,7.4,0.25,3.5,7.4,7.4,7.4,7.15,0,0.0
19,20,02899,紫金矿业,12.46,0.42,3.49,12.46,12.46,12.46,12.04,13490,162270.0
20,21,00992,联想集团,7.75,0.26,3.47,7.75,7.75,7.75,7.49,0,0.0
21,22,06160,百济神州,138.0,4.4,3.29,138.0,138.0,138.0,133.6,0,0.0
22,23,00694,北京首都机场股份,6.49,0.2,3.18,6.49,6.49,6.49,6.29,1600000,10078080.0
23,24,01810,小米集团-W,11.7,0.36,3.17,11.7,11.7,11.7,11.34,117600,1333584.0
24,25,00189,东岳集团,8.4,0.25,3.07,8.4,8.4,8.4,8.15,0,0.0
25,26,00656,复星国际,6.49,0.19,3.02,6.49,6.49,6.49,6.3,0,0.0
26,27,00520,呷哺呷哺,6.5,0.19,3.01,6.5,6.5,6.5,6.31,0,0.0
27,28,02018,瑞声科技,17.26,0.5,2.98,17.26,17.26,17.26,16.76,1112285,18641896.0
28,29,03383,雅居乐集团,2.1,0.06,2.94,2.1,2.1,2.1,2.04,0,0.0
29,30,01888,建滔积层板,10.56,0.3,2.92,10.56,10.56,10.56,10.26,2709500,27799470.0
30,31,02269,药明生物,49.4,1.4,2.92,49.4,49.4,49.4,48.0,0,0.0
31,32,02128,中国联塑,7.88,0.22,2.87,7.88,7.88,7.88,7.66,0,0.0
32,33,01024,快手-W,54.9,1.5,2.81,54.9,54.9,54.9,53.4,0,0.0
33,34,02359,药明康德,77.2,2.0,2.66,77.2,77.2,77.2,75.2,0,0.0
34,35,06099,招商证券,7.78,0.2,2.64,7.78,7.78,7.78,7.58,0,0.0
35,36,01579,颐海国际,21.7,0.55,2.6,21.7,21.7,21.7,21.15,65,1361.0
36,37,02388,中银香港,26.0,0.65,2.56,26.0,26.0,26.0,25.35,0,0.0
37,38,00884,旭辉控股集团,0.8,0.02,2.56,0.8,0.8,0.8,0.78,0,0.0
38,39,00916,龙源电力,9.73,0.24,2.53,9.73,9.73,9.73,9.49,5667000,53779830.0
39,40,00001,长和,50.0,1.2,2.46,50.0,50.0,50.0,48.8,0,0.0
40,41,03908,中金公司,16.28,0.38,2.39,16.28,16.28,16.28,15.9,125200,1994160.0
41,42,02015,理想汽车-W,91.0,2.1,2.36,91.0,91.0,91.0,88.9,269800,23985220.0
42,43,02333,长城汽车,8.7,0.2,2.35,8.7,8.7,8.7,8.5,0,0.0
43,44,02319,蒙牛乳业,34.95,0.8,2.34,34.95,34.95,34.95,34.15,248000,8469200.0
44,45,06881,中国银河,4.03,0.09,2.28,4.03,4.03,4.03,3.94,0,0.0
45,46,01044,恒安国际,36.05,0.8,2.27,36.05,36.05,36.05,35.25,0,0.0
46,47,00780,同程旅行,15.5,0.34,2.24,15.5,15.5,15.5,15.16,0,0.0
47,48,02883,中海油田服务,8.4,0.18,2.19,8.4,8.4,8.4,8.22,0,0.0
48,49,00914,海螺水泥,29.7,0.6,2.06,29.7,29.7,29.7,29.1,303500,8831850.0
49,50,00371,北控水务集团,1.98,0.04,2.06,1.98,1.98,1.98,1.94,0,0.0
50,51,06186,中国飞鹤,5.98,0.12,2.05,5.98,5.98,5.98,5.86,0,0.0
51,52,01385,上海复旦,33.1,0.65,2.0,33.1,33.1,33.1,32.45,0,0.0
52,53,01171,兖矿能源,22.2,0.4,1.83,22.2,22.2,22.2,21.8,1216000,26508800.0
53,54,00960,龙湖集团,22.25,0.4,1.83,22.25,22.25,22.25,21.85,0,0.0
54,55,02121,创新奇智,16.8,0.3,1.82,16.8,16.8,16.8,16.5,0,0.0
55,56,00966,中国太平,8.99,0.16,1.81,8.99,8.99,8.99,8.83,0,0.0
56,57,09868,小鹏汽车-W,34.05,0.6,1.79,34.05,34.05,34.05,33.45,0,0.0
57,58,00017,新世界发展,21.85,0.35,1.63,21.85,21.85,21.85,21.5,2032190,43692085.0
58,59,00998,中信银行,3.77,0.06,1.62,3.77,3.77,3.77,3.71,0,0.0
59,60,02019,德信中国,0.63,0.01,1.61,0.63,0.63,0.63,0.62,0,0.0
60,61,02888,渣打集团,64.0,1.0,1.59,64.0,64.0,64.0,63.0,0,0.0
61,62,01055,中国南方航空股份,5.84,0.09,1.57,5.84,5.84,5.84,5.75,0,0.0
62,63,00027,银河娱乐,52.45,0.8,1.55,52.45,52.45,52.45,51.65,0,0.0
63,64,01997,九龙仓置业,43.1,0.65,1.53,43.1,43.1,43.1,42.45,714,30309.0
64,65,00683,嘉里建设,20.3,0.3,1.5,20.3,20.3,20.3,20.0,0,0.0
65,66,00467,联合能源集团,0.69,0.01,1.47,0.69,0.69,0.69,0.68,578000,393040.0
