代码,名称,最新价,市盈率(TTM),市净率
06968,港龙中国地产,0.77,2.12,0.27
00323,马鞍山钢铁股份,2.08,-27.59,0.48
00347,鞍钢股份,2.55,-51.76,0.37
01053,重庆钢铁股份,0.93,-8.56,0.34
01128,永利澳门,9.9,-7.83,-3.84
00081,中国海外宏洋集团,3.72,2.36,0.38
01996,弘阳地产,0.495,-7.66,0.09
01238,宝龙地产,1.74,2.21,0.15
01966,中骏集团控股,1.08,1.98,0.18
00581,中国东方集团,1.63,2.45,0.22
02282,美高梅中国,10.76,-9.05,-34.43
02777,富力地产,2.1,-0.25,0.11
02768,佳源国际控股,0.245,1.87,0.07
01233,时代中国控股,1.54,1.67,0.15
01186,中国铁建,5.02,2.41,0.28
00525,广深铁路股份,1.41,-5.28,0.34
00257,光大环境,3.63,3.89,0.44
03383,雅居乐集团,2.55,2.68,0.18
02019,德信中国,0.73,1.76,0.29
00390,中国中铁,4.38,3.27,0.4
01339,中国人民保险集团,2.69,4.45,0.49
02727,上海电气,1.93,-3.9,0.48
00363,上海实业控股,10.54,4.22,0.25
06158,正荣地产,0.41,-0.52,0.1
00683,嘉里建设,19.46,3.03,0.25
00493,国美零售,0.128,-0.81,0.22
00165,中国光大控股,6.21,-5.62,0.25
01800,中国交通建设,4.0,3.05,0.25
01030,新城发展,3.15,2.55,0.43
00392,北京控股,27.4,4.0,0.36
01618,中国中冶,1.83,3.83,0.39
01071,华电国际电力股份,3.21,-10.86,0.46
00588,北京北辰实业股份,0.94,-3.17,0.21
00173,嘉华国际,2.95,2.53,0.21
00267,中信股份,9.01,3.44,0.35
09668,渤海银行,1.52,3.0,0.26
00142,第一太平,2.64,3.62,0.44
03301,融信中国,1.15,-0.43,0.12
00119,保利置业集团,1.87,3.07,0.19
00095,绿景中国地产,1.31,4.99,0.22
06878,鼎丰集团汽车,0.208,2.71,0.46
01963,重庆银行,4.29,2.79,0.3
00604,深圳控股,1.48,-7.51,0.27
00998,中信银行,3.8,2.67,0.25
00489,东风集团股份,4.7,4.16,0.23
01958,北京汽车,2.37,3.9,0.32
06881,中国银河,4.37,4.23,0.46
01288,农业银行,2.84,3.57,0.41
02233,西部水泥,0.98,3.84,0.4
03988,中国银行,2.99,3.52,0.4
00939,建设银行,5.13,3.65,0.44
02009,金隅集团,1.04,3.94,0.21
01398,工商银行,4.22,3.75,0.45
02866,中远海发,1.07,3.12,0.45
06196,郑州银行,1.17,2.65,0.2
00895,东江环保,2.47,-21.37,0.44
06818,中国光大银行,2.52,2.74,0.31
03618,重庆农村商业银行,2.8,2.86,0.27
02016,浙商银行,2.9,4.1,0.41
01988,民生银行,2.93,3.55,0.23
03328,交通银行,4.87,3.59,0.4
00107,四川成渝高速公路,1.91,3.35,0.3
02772,中梁控股,0.77,1.34,0.18
01635,大众公用,1.24,-49.83,0.39
01387,中国地利,0.0,-4.18,0.4
01282,宝新金融,0.4,-1.06,0.12
00884,旭辉控股集团,1.17,2.2,0.25
00754,合生创展集团,9.15,2.5,0.27
00665,海通国际,0.91,-1.81,0.24
00086,新鸿基公司,3.32,-23.28,0.27
00059,天誉置业,0.06,-0.21,0.17
01359,中国信达,1.18,3.9,0.25
00535,金地商置,0.67,2.37,0.45
00732,信利国际,1.41,3.99,0.4
02599,祥生控股集团,0.355,-0.66,0.13
