代码,名称,最新价,市盈率(TTM),市净率
01622,力高集团,1.77,15.19,0.72
06968,港龙中国地产,0.77,2.12,0.27
01060,阿里影业,0.67,81.42,1.14
01033,中石化油服,0.63,112.12,1.42
01797,新东方在线,73.7,426.02,29.76
00136,中国儒意,2.29,5.2,3.28
03678,弘业期货,2.51,40.16,1.21
01765,希望教育,0.83,13.15,0.73
02255,海昌海洋公园,1.93,22.98,3.85
00323,马鞍山钢铁股份,2.08,-27.59,0.48
01890,中国科培,3.65,9.17,1.72
09696,天齐锂业,71.65,5.57,2.59
00728,中国电信,3.73,11.36,0.72
06680,金力永磁,26.05,25.04,2.93
02001,新高教集团,4.19,9.27,1.81
09993,金辉控股,4.23,5.44,0.61
00200,新濠国际发展,11.0,-3.68,3.91
00467,联合能源集团,0.82,8.45,1.47
01772,赣锋锂业,68.95,7.17,3.24
02068,中铝国际,1.84,-5.65,0.91
00347,鞍钢股份,2.55,-51.76,0.37
00839,中教控股,13.3,16.14,2.13
00966,中国太平,11.52,8.1,0.49
02799,中国华融,0.465,-1.71,0.84
01053,重庆钢铁股份,0.93,-8.56,0.34
01813,合景泰富集团,2.06,58.03,0.14
00520,呷哺呷哺,8.5,-15.1,4.89
00883,中国海洋石油,11.38,3.88,0.86
09878,汇通达网络,40.3,-484.63,2.47
03800,协鑫科技,2.22,5.36,1.43
00636,嘉里物流,15.36,4.0,1.52
01128,永利澳门,9.9,-7.83,-3.84
00587,海螺环保,3.57,9.91,2.11
00338,上海石油化工股份,1.48,-7.65,0.53
09688,再鼎医药,36.05,-7.58,4.07
03690,美团-W,168.1,-86.05,7.37
00598,中国外运,2.78,4.43,0.54
06865,福莱特玻璃,24.65,25.09,3.57
02018,瑞声科技,21.55,29.35,1.01
00546,阜丰集团,5.5,4.39,0.82
00667,中国东方教育,6.22,37.97,2.09
00551,裕元集团,12.44,8.95,0.61
00552,中国通信服务,3.13,5.72,0.47
00819,天能动力,11.08,7.63,0.8
00081,中国海外宏洋集团,3.72,2.36,0.38
09922,九毛九,22.15,130.18,9.07
00586,海螺创业,16.9,1.42,0.6
01628,禹洲集团,0.47,40.85,0.11
02252,微创机器人-B,32.1,-32.89,13.21
09858,优然牧业,2.22,8.56,0.54
