代码,序号,名称,最新价,成交量,成交额,市盈率(TTM),市净率
03990,28,美的置业,10.22,3316200,34013579.0,3.79,0.48
00884,40,旭辉控股集团,1.05,140331638,149933226.0,1.97,0.22
01238,51,宝龙地产,1.6,7733000,12529575.0,2.04,0.14
01030,53,新城发展,2.89,29784000,86314174.0,2.34,0.39
01966,58,中骏集团控股,0.93,14745961,13840555.0,1.71,0.15
02768,65,佳源国际控股,0.202,81718000,16683390.0,1.54,0.05
02007,67,碧桂园,2.58,134818061,348847584.0,4.91,0.31
01359,72,中国信达,1.08,35777480,38679275.0,3.57,0.23
02019,93,德信中国,0.67,14228000,9624190.0,1.62,0.26
01257,127,中国光大绿色环保,1.88,1184000,2221900.0,4.98,0.29
00390,134,中国中铁,4.18,12916274,54149849.0,3.12,0.38
00095,153,绿景中国地产,1.22,6486000,8036760.0,4.64,0.2
06881,157,中国银河,3.94,25764407,101681623.0,3.81,0.41
09668,169,渤海银行,1.45,2284500,3320080.0,2.86,0.25
00581,175,中国东方集团,1.56,917374,1424511.0,2.34,0.21
01186,181,中国铁建,4.9,10019000,49495180.0,2.35,0.27
00754,184,合生创展集团,8.37,1368644,11513007.0,2.29,0.25
01800,193,中国交通建设,4.0,8925555,35928624.0,3.05,0.25
00598,204,中国外运,2.51,4114000,10405908.0,3.96,0.48
01339,205,中国人民保险集团,2.56,20168120,51950760.0,4.23,0.46
00998,220,中信银行,3.71,27856779,103461385.0,2.61,0.24
00392,230,北京控股,26.45,901104,23906321.0,3.86,0.35
06968,244,港龙中国地产,0.67,12664000,8552800.0,1.84,0.23
06878,245,鼎丰集团汽车,0.211,554560000,118949728.0,2.75,0.47
06196,247,郑州银行,1.14,10845000,12440450.0,2.58,0.2
03996,251,中国能源建设,0.94,30252000,28872660.0,4.84,0.4
03988,252,中国银行,2.93,152423999,446622592.0,3.45,0.39
03618,256,重庆农村商业银行,2.75,4878549,13458148.0,2.81,0.26
03383,258,雅居乐集团,2.25,14242058,32461977.0,2.37,0.16
03328,259,交通银行,4.8,8560376,41118840.0,3.54,0.39
02866,261,中远海发,1.06,5703031,6078574.0,3.09,0.45
02772,262,中梁控股,0.66,8209000,5487690.0,1.15,0.16
02016,265,浙商银行,2.76,696000,1919210.0,3.9,0.39
02009,266,金隅集团,1.06,8907000,9398475.0,4.02,0.21
01398,272,工商银行,3.98,240713771,962971536.0,3.54,0.42
01288,273,农业银行,2.77,85930709,237996972.0,3.48,0.4
00267,284,中信股份,8.94,5902918,52934196.0,3.42,0.35
00173,287,嘉华国际,2.9,241276,704777.0,2.48,0.2
00939,300,建设银行,4.93,289271504,1429613680.0,3.51,0.42
00257,315,光大环境,3.31,6633065,22139688.0,3.55,0.4
00081,316,中国海外宏洋集团,3.3,4550000,15140210.0,2.09,0.34
01988,321,民生银行,2.83,9357459,26620686.0,3.43,0.22
06818,333,中国光大银行,2.34,13144676,30963496.0,2.55,0.29
00489,336,东风集团股份,4.31,8154723,35444312.0,3.81,0.21
00683,342,嘉里建设,19.9,1314118,26181866.0,3.1,0.25
00107,346,四川成渝高速公路,1.88,790000,1495630.0,3.3,0.29
00363,352,上海实业控股,10.54,561000,5937760.0,4.22,0.25
03369,384,秦港股份,1.16,2004000,2317120.0,4.95,0.34
01958,385,北京汽车,2.3,3334254,7746626.0,3.79,0.31
01963,393,重庆银行,4.23,805500,3436460.0,2.75,0.3
00119,394,保利置业集团,1.92,8106000,15799670.0,3.15,0.19
00142,396,第一太平,2.81,3508000,9995660.0,3.85,0.46
00732,443,信利国际,1.28,11576000,15117300.0,3.63,0.36
00535,454,金地商置,0.6,11162000,6849840.0,2.12,0.4
01233,457,时代中国控股,1.18,19935000,24489920.0,1.28,0.11
01618,467,中国中冶,1.67,9475000,16068060.0,3.49,0.35
02233,477,西部水泥,0.97,44210000,43599120.0,3.8,0.39
