date,市盈率(TTM),市盈率(静),市净率,市现率,总市值
2020-07-13,22.02,22.02,4.49,59.06,79.85
2020-07-14,20.34,20.34,4.14,54.53,73.73
2020-07-15,20.13,20.13,4.1,53.97,72.97
2020-07-16,18.39,18.39,3.74,49.31,66.67
2020-07-17,18.12,18.12,3.69,48.6,65.71
2020-07-20,18.18,18.18,3.7,48.74,65.9
2020-07-21,19.49,19.49,3.97,52.27,70.68
2020-07-22,18.23,18.23,3.71,48.88,66.09
2020-07-23,18.34,18.34,3.73,49.17,66.48
2020-07-24,18.7,18.7,3.81,50.15,67.81
2020-07-27,18.91,18.91,3.85,50.72,68.58
2020-07-28,20.28,20.28,4.13,54.39,73.54
2020-07-29,20.76,20.76,4.23,55.66,75.26
2020-07-30,19.55,19.55,3.98,52.42,70.87
2020-07-31,19.34,19.34,3.94,51.85,70.11
2020-08-03,19.23,19.23,3.92,51.57,69.72
2020-08-04,18.7,18.7,3.81,50.15,67.81
2020-08-05,19.02,19.02,3.87,51.0,68.96
2020-08-06,20.47,20.47,4.17,54.88,74.21
2020-08-07,20.14,20.14,4.1,54.02,73.03
2020-08-10,19.55,19.55,3.98,52.42,70.88
2020-08-11,19.17,19.17,3.9,51.41,69.51
2020-08-12,18.47,18.47,3.76,49.53,66.96
2020-08-13,18.47,18.47,3.76,49.53,66.96
2020-08-14,18.42,18.42,3.75,49.38,66.77
2020-08-17,18.2,18.2,3.71,48.8,65.98
2020-08-18,17.82,17.82,3.63,47.79,64.61
2020-08-19,18.04,18.04,3.67,48.37,65.4
2020-08-20,17.66,17.66,3.6,47.35,64.03
2020-08-21,17.55,17.55,3.57,47.06,63.63
2020-08-24,18.09,18.09,3.68,48.51,65.59
2020-08-25,17.5,17.5,3.56,46.92,63.44
2020-08-26,16.96,16.96,3.45,45.47,61.48
2020-08-27,18.22,16.63,3.2,44.6,60.31
2020-08-28,18.04,16.47,3.17,44.17,59.72
2020-08-31,17.57,16.04,3.08,43.01,58.15
2020-09-01,17.27,15.77,3.03,42.29,57.17
2020-09-02,16.39,14.96,2.87,40.11,54.24
2020-09-03,17.86,16.31,3.13,43.73,59.13
2020-09-04,18.16,16.58,3.19,44.46,60.11
2020-09-07,18.93,17.28,3.32,46.34,62.66
2020-09-08,19.64,17.93,3.45,48.08,65.0
2020-09-09,20.11,18.36,3.53,49.24,66.57
2020-09-10,19.17,17.5,3.36,46.92,63.44
2020-09-11,19.7,17.98,3.46,48.22,65.2
2020-09-14,19.28,17.61,3.38,47.21,63.83
2020-09-15,19.34,17.66,3.39,47.35,64.03
2020-09-16,19.17,17.5,3.36,46.92,63.44
2020-09-17,18.87,17.23,3.31,46.2,62.46
2020-09-18,18.4,16.8,3.23,45.04,60.89
2020-09-21,18.1,16.53,3.18,44.31,59.91
2020-09-22,18.4,16.8,3.23,45.04,60.89
2020-09-23,18.28,16.69,3.21,44.75,60.5
2020-09-24,17.75,16.2,3.11,43.44,58.74
2020-09-25,17.75,16.2,3.11,43.44,58.74
2020-09-28,17.86,16.31,3.13,43.73,59.13
2020-09-29,17.57,16.04,3.08,43.01,58.15
2020-09-30,18.04,16.47,3.17,44.17,59.72
2020-10-05,18.16,16.58,3.19,44.46,60.11
2020-10-06,18.34,16.74,3.22,44.89,60.7
2020-10-07,18.16,16.58,3.19,44.46,60.11
2020-10-08,18.22,16.63,3.2,44.6,60.31
2020-10-09,17.8,16.26,3.12,43.59,58.94
2020-10-12,17.8,16.26,3.12,43.59,58.94
2020-10-14,17.51,15.99,3.07,42.86,57.96
2020-10-15,17.33,15.82,3.04,42.43,57.37
2020-10-16,17.57,16.04,3.08,43.01,58.15
2020-10-19,16.92,15.45,2.97,41.42,56.0
2020-10-20,17.09,15.61,3.0,41.85,56.59
2020-10-21,16.86,15.39,2.96,41.27,55.8
2020-10-22,16.68,15.23,2.93,40.84,55.21
2020-10-23,16.5,15.07,2.9,40.4,54.63
2020-10-27,17.86,16.31,3.13,43.73,59.13
2020-10-28,18.57,16.96,3.26,45.47,61.48
2020-10-29,18.93,17.28,3.32,46.34,62.66
2020-10-30,17.57,16.04,3.08,43.01,58.15
2020-11-02,17.45,15.93,3.06,42.72,57.76
2020-11-03,17.92,16.36,3.14,43.88,59.33
2020-11-04,17.8,16.26,3.12,43.59,58.94
2020-11-05,19.17,17.5,3.36,46.92,63.44
2020-11-06,18.1,16.53,3.18,44.31,59.91
2020-11-09,18.28,16.69,3.21,44.75,60.5
2020-11-10,18.28,16.69,3.21,44.75,60.5
2020-11-11,18.34,16.74,3.22,44.89,60.7
2020-11-12,18.22,16.63,3.2,44.6,60.31
2020-11-13,18.4,16.8,3.23,45.04,60.89
2020-11-16,18.99,17.34,3.33,46.48,62.85
2020-11-17,19.11,17.44,3.35,46.77,63.24
2020-11-18,20.05,18.31,3.52,49.09,66.38
2020-11-19,19.17,17.5,3.36,46.92,63.44
2020-11-20,18.46,16.85,3.24,45.18,61.09
2020-11-23,19.4,17.71,3.4,47.5,64.22
2020-11-24,18.51,16.9,3.25,45.33,61.28
2020-11-25,18.28,16.69,3.21,44.75,60.5
2020-11-26,18.34,16.74,3.22,44.89,60.7
2020-11-27,18.1,16.53,3.18,44.31,59.91
2020-11-30,18.1,16.53,3.18,44.31,59.91
2020-12-01,17.69,16.15,3.1,43.3,58.54
2020-12-02,17.8,16.26,3.12,43.59,58.94
2020-12-03,17.51,15.99,3.07,42.86,57.96
2020-12-04,17.51,15.99,3.07,42.86,57.96
2020-12-07,17.45,15.93,3.06,42.72,57.76
2020-12-08,17.21,15.72,3.02,42.14,56.98
2020-12-09,17.09,15.61,3.0,41.85,56.59
2020-12-10,17.45,15.93,3.06,42.72,57.76
2020-12-11,16.56,15.12,2.91,40.55,54.82
2020-12-14,16.86,15.39,2.96,41.27,55.8
2020-12-15,16.68,15.23,2.93,40.84,55.21
2020-12-16,17.33,15.82,3.04,42.43,57.37
2020-12-17,17.63,16.09,3.09,43.15,58.35
2020-12-18,18.57,16.96,3.26,45.47,61.48
2020-12-21,18.87,17.23,3.31,46.2,62.46
2020-12-22,18.69,17.07,3.28,45.76,61.87
2020-12-23,18.16,16.58,3.19,44.46,60.11
2020-12-24,18.93,17.28,3.32,46.34,62.66
2020-12-28,19.58,17.88,3.43,47.93,64.81
2020-12-29,19.99,18.25,3.51,48.95,66.18
2020-12-30,20.41,18.63,3.58,49.96,67.55
2020-12-31,19.7,17.98,3.46,48.22,65.2
2021-01-04,18.81,17.17,3.3,46.05,62.26
2021-01-05,18.69,17.07,3.28,45.76,61.87
2021-01-06,19.7,17.98,3.46,48.22,65.2
2021-01-07,19.22,17.55,3.37,47.06,63.63
2021-01-08,18.93,17.28,3.32,46.34,62.66
2021-01-11,18.81,17.17,3.3,46.05,62.26
2021-01-12,18.87,17.23,3.31,46.2,62.46
2021-01-13,18.51,16.9,3.25,45.33,61.28
2021-01-14,19.11,17.44,3.35,46.77,63.24
2021-01-15,19.4,17.71,3.4,47.5,64.22
2021-01-18,19.99,18.25,3.51,48.95,66.18
2021-01-19,20.35,18.58,3.57,49.82,67.35
2021-01-20,20.64,18.85,3.62,50.54,68.33
2021-01-21,19.99,18.25,3.51,48.95,66.18
2021-01-22,19.76,18.04,3.47,48.37,65.4
2021-01-25,19.28,17.61,3.38,47.21,63.83
2021-01-26,19.22,17.55,3.37,47.06,63.63
2021-01-27,18.81,17.17,3.3,46.05,62.26
2021-01-28,17.98,16.42,3.15,44.02,59.52
2021-01-29,17.92,16.36,3.14,43.88,59.33
2021-02-01,18.1,16.53,3.18,44.31,59.91
2021-02-02,18.16,16.58,3.19,44.46,60.11
2021-02-03,18.57,16.96,3.26,45.47,61.48
2021-02-04,19.34,17.66,3.39,47.35,64.03
2021-02-05,19.28,17.61,3.38,47.21,63.83
2021-02-08,19.52,17.82,3.42,47.79,64.61
2021-02-09,19.4,17.71,3.4,47.5,64.22
2021-02-10,19.28,17.61,3.38,47.21,63.83
