2023-04-29 Saturday 14:40:05 root:INFO:HKGGT, have total 561 stocks.
2023-04-29 Saturday 14:40:05 root:INFO:HKGGT, update exist csv for 00525, added 0 rows.
2023-04-29 Saturday 14:41:48 root:INFO:ggt.py:27：HKGGT, have total 561 stocks.
2023-04-29 Saturday 14:41:48 root:INFO:ggt.py:22：HKGGT, update exist csv for 00525, added 0 rows.
2023-04-29 Saturday 15:27:45 root:INFO:ggt.py:43：HKGGT, have total 561 stocks.
2023-04-29 Saturday 15:27:46 root:INFO:ggt.py:38：HKGGT, update exist csv for 00525, added 0 rows.
2023-04-29 Saturday 15:27:46 root:INFO:ggt.py:59：HKGGT, create 0 stocks, and update 1 stocks, total cost 0.78 seconds.
2023-04-29 Saturday 15:29:48 root:INFO:ggt.py:43：HKGGT, have total 561 stocks.
2023-04-29 Saturday 15:29:48 root:INFO:ggt.py:38：HKGGT, update exist csv for 00525, added 0 rows.
2023-04-29 Saturday 15:29:49 root:INFO:ggt.py:22：HKGGT, created new csv for 06610, contains 129 rows.
2023-04-29 Saturday 15:29:50 root:INFO:ggt.py:22：HKGGT, created new csv for 06689, contains 158 rows.
2023-04-29 Saturday 15:29:51 root:INFO:ggt.py:22：HKGGT, created new csv for 03369, contains 2306 rows.
2023-04-29 Saturday 15:29:53 root:INFO:ggt.py:22：HKGGT, created new csv for 06690, contains 576 rows.
2023-04-29 Saturday 15:29:54 root:INFO:ggt.py:22：HKGGT, created new csv for 09896, contains 196 rows.
2023-04-29 Saturday 15:29:56 root:INFO:ggt.py:22：HKGGT, created new csv for 01618, contains 3347 rows.
2023-04-29 Saturday 15:29:57 root:INFO:ggt.py:22：HKGGT, created new csv for 02150, contains 450 rows.
2023-04-29 Saturday 15:29:58 root:INFO:ggt.py:22：HKGGT, created new csv for 06698, contains 79 rows.
2023-04-29 Saturday 15:29:59 root:INFO:ggt.py:22：HKGGT, created new csv for 00631, contains 3305 rows.
2023-04-29 Saturday 15:30:00 root:INFO:ggt.py:22：HKGGT, created new csv for 03759, contains 840 rows.
2023-04-29 Saturday 15:30:03 root:INFO:ggt.py:22：HKGGT, created new csv for 00177, contains 4272 rows.
2023-04-29 Saturday 15:30:05 root:INFO:ggt.py:22：HKGGT, created new csv for 00285, contains 3778 rows.
2023-04-29 Saturday 15:30:07 root:INFO:ggt.py:22：HKGGT, created new csv for 00856, contains 4272 rows.
2023-04-29 Saturday 15:30:08 root:INFO:ggt.py:22：HKGGT, created new csv for 00020, contains 325 rows.
2023-04-29 Saturday 15:30:09 root:INFO:ggt.py:22：HKGGT, created new csv for 00107, contains 4272 rows.
2023-04-29 Saturday 15:30:11 root:INFO:ggt.py:22：HKGGT, created new csv for 01600, contains 3067 rows.
2023-04-29 Saturday 15:30:13 root:INFO:ggt.py:22：HKGGT, created new csv for 00135, contains 4272 rows.
2023-04-29 Saturday 15:30:15 root:INFO:ggt.py:22：HKGGT, created new csv for 02378, contains 3184 rows.
2023-04-29 Saturday 15:30:16 root:INFO:ggt.py:22：HKGGT, created new csv for 00038, contains 4272 rows.
2023-04-29 Saturday 15:30:17 root:INFO:ggt.py:22：HKGGT, created new csv for 02400, contains 830 rows.
2023-04-29 Saturday 15:30:18 root:INFO:ggt.py:22：HKGGT, created new csv for 09990, contains 687 rows.
2023-04-29 Saturday 15:30:20 root:INFO:ggt.py:22：HKGGT, created new csv for 00981, contains 4272 rows.
2023-04-29 Saturday 15:30:21 root:INFO:ggt.py:22：HKGGT, created new csv for 01057, contains 2985 rows.
2023-04-29 Saturday 15:30:22 root:INFO:ggt.py:22：HKGGT, created new csv for 02121, contains 305 rows.
2023-04-29 Saturday 15:30:24 root:INFO:ggt.py:22：HKGGT, created new csv for 01800, contains 4026 rows.
2023-04-29 Saturday 15:30:26 root:INFO:ggt.py:22：HKGGT, created new csv for 03969, contains 1901 rows.
2023-04-29 Saturday 15:30:27 root:INFO:ggt.py:22：HKGGT, created new csv for 06178, contains 1649 rows.
2023-04-29 Saturday 15:30:30 root:INFO:ggt.py:22：HKGGT, created new csv for 00669, contains 4272 rows.
2023-04-29 Saturday 15:30:31 root:INFO:ggt.py:22：HKGGT, created new csv for 01357, contains 1567 rows.
2023-04-29 Saturday 15:30:33 root:INFO:ggt.py:22：HKGGT, created new csv for 01339, contains 2553 rows.
2023-04-29 Saturday 15:30:34 root:INFO:ggt.py:22：HKGGT, created new csv for 00658, contains 3896 rows.
2023-04-29 Saturday 15:30:36 root:INFO:ggt.py:22：HKGGT, created new csv for 00696, contains 4272 rows.
2023-04-29 Saturday 15:30:37 root:INFO:ggt.py:22：HKGGT, created new csv for 06099, contains 1614 rows.
2023-04-29 Saturday 15:30:40 root:INFO:ggt.py:22：HKGGT, created new csv for 01585, contains 1710 rows.
2023-04-29 Saturday 15:30:41 root:INFO:ggt.py:22：HKGGT, created new csv for 09959, contains 506 rows.
2023-04-29 Saturday 15:30:43 root:INFO:ggt.py:22：HKGGT, created new csv for 01053, contains 4272 rows.
2023-04-29 Saturday 15:30:44 root:INFO:ggt.py:22：HKGGT, created new csv for 01766, contains 3616 rows.
2023-04-29 Saturday 15:30:46 root:INFO:ggt.py:22：HKGGT, created new csv for 01765, contains 1167 rows.
2023-04-29 Saturday 15:30:48 root:INFO:ggt.py:22：HKGGT, created new csv for 06881, contains 2446 rows.
2023-04-29 Saturday 15:30:50 root:INFO:ggt.py:22：HKGGT, created new csv for 01250, contains 2416 rows.
2023-04-29 Saturday 15:30:51 root:INFO:ggt.py:22：HKGGT, created new csv for 00302, contains 860 rows.
2023-04-29 Saturday 15:30:53 root:INFO:ggt.py:22：HKGGT, created new csv for 01186, contains 3723 rows.
2023-04-29 Saturday 15:30:54 root:INFO:ggt.py:22：HKGGT, created new csv for 01873, contains 980 rows.
2023-04-29 Saturday 15:30:55 root:INFO:ggt.py:22：HKGGT, created new csv for 02255, contains 2246 rows.
2023-04-29 Saturday 15:30:56 root:INFO:ggt.py:22：HKGGT, created new csv for 09668, contains 686 rows.
